model,seed,mae,mse,rse,ade,fde
rnn2gnn,68,0.6946723461151123,2.867234945297241,1.693291425704956,1.437455177307129,2.926037549972534
gnn2rnn,68,0.9808313846588135,4.310535430908203,2.0761830806732178,2.0274498462677,3.118985414505005
ConstantAvg,42,4.428140163421631,76.6978530883789,8.757731437683105,10.955331802368164,13.310027122497559
RollingAvg,42,1.893534779548645,14.391097068786621,3.793560028076172,4.384033679962158,6.918414115905762
grnn,92,0.5817111730575562,1.3298474550247192,1.1531904935836792,1.19400155544281,2.4896280765533447
rgnn,92,0.6260671615600586,1.510606288909912,1.2290676832199097,1.3239837884902954,2.859478712081909
mlp,92,0.7171520590782166,2.143219470977783,1.4639742374420166,1.5327857732772827,2.610832929611206
lstm,92,0.6470926403999329,1.7981842756271362,1.3409643173217773,1.3476289510726929,2.809114456176758
rnn2gnn,92,0.7244743704795837,1.6685148477554321,1.291710376739502,1.5240188837051392,3.0677762031555176
gnn2rnn,92,0.8260889053344727,2.028519630432129,1.424261450767517,1.7062913179397583,2.638282299041748
ConstantAvg,42,3.0761568546295166,42.10189437866211,6.488597393035889,7.680515766143799,9.449463844299316
RollingAvg,42,1.444819688796997,8.549558639526367,2.9239630699157715,3.3534257411956787,5.25322961807251
grnn,256,0.6444731950759888,1.5876539945602417,1.2600218057632446,1.3462207317352295,2.5998289585113525
rgnn,256,0.5753281116485596,1.4007060527801514,1.1835147142410278,1.1799923181533813,2.455083131790161
mlp,256,0.8299329280853271,3.088682174682617,1.7574650049209595,1.7769774198532104,3.0288496017456055
lstm,256,0.6106380224227905,1.700406551361084,1.3039968013763428,1.252701997756958,2.5568604469299316
rnn2gnn,256,0.5828428268432617,1.5036128759384155,1.2262192964553833,1.1983816623687744,2.5384674072265625
gnn2rnn,256,0.9307222962379456,2.3529858589172363,1.533944845199585,1.9194749593734741,3.0343072414398193
ConstantAvg,42,3.2299253940582275,39.868186950683594,6.314126014709473,7.762818336486816,9.229596138000488
RollingAvg,42,1.474168062210083,8.376716613769531,2.8942558765411377,3.304497241973877,5.037496566772461
grnn,512,0.6842368841171265,2.35204815864563,1.5336391925811768,1.4082280397415161,2.742274522781372
rgnn,512,0.671211838722229,3.6268577575683594,1.9044313430786133,1.3779540061950684,2.911240339279175
mlp,512,0.7882627844810486,2.910013437271118,1.7058764696121216,1.7009257078170776,2.985666036605835
lstm,512,0.6499789357185364,2.437777280807495,1.5613385438919067,1.3537684679031372,2.850595474243164
rnn2gnn,512,0.6738525629043579,2.916078805923462,1.707653284072876,1.3736000061035156,2.8115286827087402
gnn2rnn,512,0.9370672702789307,4.237188339233398,2.058443307876587,1.9101179838180542,2.9754981994628906
ConstantAvg,42,3.588623285293579,52.158409118652344,7.2220778465271,8.966776847839355,10.745362281799316
RollingAvg,42,1.5181257724761963,9.657954216003418,3.107725143432617,3.5479583740234375,5.589228630065918
